HIGH [LINT_REG_004] class's attributes should start with lowercase 'A' at 'C:\Users\MOHAMEDKH\Documents\Mr_Belmokhtar_Spring\ensao-lint\testFiles\attributeName\Test.java:3'
HIGH [LINT_REG_004] class's attributes should start with lowercase 'C' at 'C:\Users\MOHAMEDKH\Documents\Mr_Belmokhtar_Spring\ensao-lint\testFiles\attributeName\Test.java:5'
MEDIUM [LINT_REG_005] constantes should be in uppercase 'constante' at 'C:\Users\MOHAMEDKH\Documents\Mr_Belmokhtar_Spring\ensao-lint\testFiles\constantes\Test.java:4'
MEDIUM [LINT_REG_005] constantes should be in uppercase 'b' at 'C:\Users\MOHAMEDKH\Documents\Mr_Belmokhtar_Spring\ensao-lint\testFiles\constantes\Test.java:5'
HIGH [LINT_REG_003] local variables should start with lowercase 'C' at 'C:\Users\MOHAMEDKH\Documents\Mr_Belmokhtar_Spring\ensao-lint\testFiles\localVariable\Test.java:4'
HIGH [LINT_REG_003] local variables should start with lowercase 'B' at 'C:\Users\MOHAMEDKH\Documents\Mr_Belmokhtar_Spring\ensao-lint\testFiles\localVariable\Test.java:5'
MEDIUM [LINT_REG_001] Unused import 'java.util.List' at 'C:\Users\MOHAMEDKH\Documents\Mr_Belmokhtar_Spring\ensao-lint\testFiles\normalExecution\Example.java:1'
MEDIUM [LINT_REG_001] Unused import 'com.github.javaparser.ast.ImportDeclaration' at 'C:\Users\MOHAMEDKH\Documents\Mr_Belmokhtar_Spring\ensao-lint\testFiles\normalExecution\Example.java:2'
MEDIUM [LINT_REG_001] Unused import 'FFFF' at 'C:\Users\MOHAMEDKH\Documents\Mr_Belmokhtar_Spring\ensao-lint\testFiles\normalExecution\Example2.java:4'
BLOCKER [LINT_REG_000] Parse error. Found  "errorMethod" <IDENTIFIER>, expected "(" at 'C:\Users\MOHAMEDKH\Documents\Mr_Belmokhtar_Spring\ensao-lint\testFiles\parseError\ParseErrorExample.java:17'
MEDIUM [LINT_REG_001] Unused import 'org.apache.commons.lang3.StringUtils' at 'C:\Users\MOHAMEDKH\Documents\Mr_Belmokhtar_Spring\ensao-lint\testFiles\staticCall\StaticCallExample.java:1'
MEDIUM [LINT_REG_001] Unused import 'example.Access' at 'C:\Users\MOHAMEDKH\Documents\Mr_Belmokhtar_Spring\ensao-lint\testFiles\staticCall\StaticCallExample.java:2'
HIGH [LINT_REG_004] class's attributes should start with lowercase 'STRING' at 'C:\Users\MOHAMEDKH\Documents\Mr_Belmokhtar_Spring\ensao-lint\testFiles\staticCall\StaticCallExampleOK.java:13'
HIGHEST [LINT_REG_002] Type name should start with an uppercase 'test' at 'C:\Users\MOHAMEDKH\Documents\Mr_Belmokhtar_Spring\ensao-lint\testFiles\typeName\Test.java:2'
MEDIUM [LINT_REG_001] Unused import 'org.apache.commons.io.FileDeleteStrategy' at 'C:\Users\MOHAMEDKH\Documents\Mr_Belmokhtar_Spring\ensao-lint\testFiles\unusedImports\Test.java:1'
MEDIUM [LINT_REG_001] Unused import 'java.lang.StringBuilder' at 'C:\Users\MOHAMEDKH\Documents\Mr_Belmokhtar_Spring\ensao-lint\testFiles\unusedImports\Test.java:2'
